Transaction_ID,Item_Name
1001,Diaper
1001,Cheese
1001,Cola
1001,Milk
1002,Bread
1002,Butter
1003,Bread
1003,Chips
1003,Yogurt
1003,Butter
1004,Cheese
1004,Beer
1004,Yogurt
1004,Bread
1004,Diaper
1005,Yogurt
1005,Butter
1005,Bread
1005,Chips
1005,Cola
1006,Cheese
1006,Diaper
1006,Beer
1006,Chips
1007,Bread
1007,Cola
1007,Butter
1008,Bread
1008,Butter
1009,Bread
1009,Butter
1010,Diaper
1010,Beer
1010,Butter
1010,Milk
1011,Diaper
1011,Beer
1012,Bread
1012,Cola
1012,Milk
1013,Bread
1013,Diaper
1013,Eggs
1013,Butter
1014,Cheese
1014,Milk
1014,Butter
1014,Bread
1014,Diaper
1015,Bread
1015,Cola
1015,Eggs
1016,Diaper
1016,Beer
1016,Butter
1017,Bread
1017,Beer
1017,Yogurt
1017,Butter
1018,Bread
1018,Chips
1018,Butter
1019,Diaper
1019,Beer
1020,Diaper
1020,Beer
1021,Bread
1021,Cola
1021,Butter
1022,Diaper
1022,Beer
1022,Butter
1023,Yogurt
1023,Milk
1023,Butter
1024,Cheese
1024,Chips
1024,Eggs
1024,Milk
1025,Diaper
1025,Beer
1025,Cola
1026,Bread
1026,Chips
1026,Yogurt
1026,Butter
1027,Cheese
1027,Diaper
1027,Beer
1027,Eggs
1028,Cheese
1028,Diaper
1028,Eggs
1029,Cola
1029,Eggs
1029,Yogurt
1030,Diaper
1030,Beer
1030,Chips
1031,Cheese
1031,Beer
1031,Diaper
1031,Chips
1031,Eggs
1032,Bread
1032,Diaper
1032,Beer
1032,Chips
1033,Bread
1033,Beer
1033,Eggs
1033,Butter
1034,Bread
1034,Butter
1035,Beer
1035,Yogurt
1035,Butter
1035,Bread
1035,Cola
1036,Bread
1036,Cola
1037,Bread
1037,Beer
1037,Butter
1037,Chips
1038,Bread
1038,Cheese
1038,Milk
1038,Butter
1039,Cheese
1039,Beer
1039,Diaper
1039,Chips
1039,Eggs
1040,Beer
1040,Yogurt
1040,Butter
1040,Diaper
1040,Eggs
1041,Bread
1041,Diaper
1041,Beer
1041,Butter
1042,Milk
1042,Beer
1042,Butter
1042,Bread
1042,Chips
1043,Cheese
1043,Milk
1043,Bread
1043,Eggs
1043,Cola
1044,Beer
1044,Diaper
1044,Chips
1044,Eggs
1044,Cola
1045,Diaper
1045,Beer
1045,Cola
1046,Diaper
1046,Beer
1046,Yogurt
1047,Diaper
1047,Beer
1047,Chips
1048,Eggs
1048,Milk
1048,Butter
1049,Cheese
1049,Yogurt
1049,Bread
1049,Eggs
1049,Cola
1050,Cheese
1050,Chips
1051,Bread
1051,Beer
1051,Butter
1052,Diaper
1052,Beer
1052,Yogurt
1052,Cola
1053,Cheese
1053,Beer
1053,Butter
1053,Bread
1053,Diaper
1054,Diaper
1054,Cheese
1054,Beer
1054,Bread
1055,Bread
1055,Cola
1056,Cola
1056,Milk
1056,Butter
1057,Bread
1057,Butter
1058,Bread
1058,Beer
1058,Eggs
1058,Butter
1059,Cheese
1059,Yogurt
1059,Butter
1059,Bread
1059,Eggs
1060,Beer
1060,Butter
1060,Bread
1060,Diaper
1060,Cola
1061,Bread
1061,Diaper
1061,Beer
1061,Eggs
1062,Bread
1062,Butter
1063,Diaper
1063,Beer
1063,Cola
1063,Yogurt
1064,Bread
1064,Chips
1064,Milk
1064,Butter
1065,Cheese
1065,Yogurt
1066,Diaper
1066,Beer
1067,Bread
1067,Milk
1067,Butter
1068,Bread
1068,Butter
1069,Diaper
1069,Beer
1069,Milk
1070,Diaper
1070,Beer
1070,Eggs
1070,Milk
1071,Bread
1071,Diaper
1071,Beer
1071,Chips
1072,Diaper
1072,Beer
1072,Eggs
1072,Butter
1073,Bread
1073,Chips
1073,Yogurt
1073,Butter
1074,Bread
